id,address,address_type,street,street_type,street_dir,x,y,report_date,time_start,time_end,crime_type_id,arrested,l1_code
3232,800 BUTTERNUT ST,StreetAddress,BUTTERNUT,ST, ,937398.3159,1115865.679,2022-06-27 00:00:00.000000,1415,1415,5,FALSE,
3233,800 BUTTERNUT ST,StreetAddress,BUTTERNUT,ST, ,937398.3159,1115865.679,2022-08-02 00:00:00.000000,439,439,3,FALSE,From Building
3234,800 BUTTERNUT ST,StreetAddress,BUTTERNUT,ST, ,937398.3159,1115865.679,2022-05-12 00:00:00.000000,130,200,4,FALSE,
3235,700 VAN RENSSELAER ST,StreetAddress,VAN RENSSELAER,ST, ,931711.8912,1114775.055,2022-07-05 00:00:00.000000,405,405,4,FALSE,Motor Vehicle
3236,800 CANAL ST,StreetAddress,CANAL,ST, ,941232.5135,1111981.922,2022-01-17 00:00:00.000000,1106,1106,1,FALSE,All Other
3237,800 CANAL ST,StreetAddress,CANAL,ST, ,941232.5135,1111981.922,2022-01-14 00:00:00.000000,1550,1550,1,FALSE,All Other
3238,800 COMSTOCK AVE,StreetAddress,COMSTOCK,AVE, ,941447.0199,1106596.401,2022-07-14 00:00:00.000000,130,130,3,FALSE,All Other
3239,800 CANAL ST,StreetAddress,CANAL,ST, ,941232.5135,1111981.922,2022-05-30 00:00:00.000000,1030,1030,3,TRUE,All Other
3240,800 BUTTERNUT ST,StreetAddress,BUTTERNUT,ST, ,937398.3159,1115865.679,2022-06-27 00:00:00.000000,300,300,5,FALSE,
3241,800 DANFORTH ST,StreetAddress,DANFORTH,ST, ,934740.1179,1118938.965,2022-04-11 00:00:00.000000,1500,1925,1,FALSE,All Other
3242,800 DANFORTH ST,StreetAddress,DANFORTH,ST, ,934740.1179,1118938.965,2022-06-23 00:00:00.000000,1300,1620,3,FALSE,
3243,800 COURT ST,StreetAddress,COURT,ST, ,934773.3047,1120053.981,2022-05-27 00:00:00.000000,530,530,1,FALSE,From Motor Vehicle
3244,800 COURT ST,StreetAddress,COURT,ST, ,934773.3047,1120053.981,2022-07-26 00:00:00.000000,1701,1701,3,FALSE,
3245,800 COURT ST,StreetAddress,COURT,ST, ,934773.3047,1120053.981,2022-08-14 00:00:00.000000,1522,1522,1,FALSE,
3246,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-04-11 00:00:00.000000,1700,800,3,FALSE,From Building
3247,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-04-11 00:00:00.000000,346,346,3,FALSE,
3248,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-02-14 00:00:00.000000,1045,1045,1,FALSE,All Other
3249,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-04-11 00:00:00.000000,1700,750,3,FALSE,From Building
3250,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-02-26 00:00:00.000000,1900,2300,1,FALSE,All Other
3251,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-04-11 00:00:00.000000,1730,800,3,FALSE,From Building
3252,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-07-18 00:00:00.000000,2241,2241,5,FALSE,
3253,800 E BRIGHTON AVE,StreetAddress,BRIGHTON,AVE, ,941076.8323,1095548.279,2022-03-02 00:00:00.000000,700,1900,1,FALSE,From Building
3254,800 E FAYETTE ST,StreetAddress,FAYETTE,ST, ,938743.8846,1111046.721,2022-05-25 00:00:00.000000,1400,1430,1,FALSE,All Other
3255,800 E GENESEE ST,StreetAddress,GENESEE,ST, ,938726.5051,1110477.73,2022-03-14 00:00:00.000000,1210,1213,1,FALSE,From Building
3256,800 E GENESEE ST,StreetAddress,GENESEE,ST, ,938726.5051,1110477.73,2022-07-10 00:00:00.000000,610,622,3,FALSE,From Building
3257,800 E GENESEE ST,StreetAddress,GENESEE,ST, ,938726.5051,1110477.73,2022-04-12 00:00:00.000000,854,854,1,FALSE,All Other
3258,800 ERIE BLVD W,StreetAddress,ERIE,BLVD,W,930449.9352,1110904.267,2022-04-03 00:00:00.000000,1904,1904,1,TRUE,Shoplifting
3259,800 ERIE BLVD W,StreetAddress,ERIE,BLVD,W,930449.9352,1110904.267,2022-06-03 00:00:00.000000,1715,1715,1,FALSE,All Other
3260,800 ERIE BLVD W,StreetAddress,ERIE,BLVD,W,930449.9352,1110904.267,2022-06-20 00:00:00.000000,1500,1000,1,FALSE,From Motor Vehicle
3261,800 ERIE BLVD W,StreetAddress,ERIE,BLVD,W,930449.9352,1110904.267,2022-05-01 00:00:00.000000,2000,800,2,FALSE,Motor Vehicle
3262,800 EMERSON AVE,StreetAddress,EMERSON,AVE, ,925441.7882,1113812.775,2022-07-21 00:00:00.000000,548,600,3,FALSE,From Building
3263,800 ERIE BLVD W,StreetAddress,ERIE,BLVD,W,930449.9352,1110904.267,2022-05-08 00:00:00.000000,2100,2100,1,TRUE,All Other
3264,800 GRANT BLVD,StreetAddress,GRANT,BLVD, ,941967.8131,1119979.891,2022-06-05 00:00:00.000000,137,137,1,FALSE,From Motor Vehicle
