id,address,address_type,arrested,larceny_code,report_date,street,street_dir,street_type,time_end,time_start,x,y,crime_type_id
1245,1100 MADISON ST,StreetAddress,false,From Motor Vehicle,2022-03-06 00:00:00.000000,MADISON, ,ST,1230,100,-76.1305519231863,43.0452374281232,1
1246,"700 S CROUSE, 13210",PointAddress,false,From Motor Vehicle,2022-04-15 00:00:00.000000,CROUSE, ,,1400,1400,-76.136793708164,43.0425453825224,1
1247,"700 S CROUSE, 13210",PointAddress,false,From Building,2022-01-03 00:00:00.000000,CROUSE, ,,539,539,-76.136793708164,43.0425453825224,3
1248,"700 S CROUSE, 13210",PointAddress,false,Of Bicycle,2022-01-01 00:00:00.000000,CROUSE, ,,1803,1803,-76.136793708164,43.0425453825224,1
1249,"700 S CROUSE, 13210",PointAddress,false,From Building,2022-08-12 00:00:00.000000,CROUSE, ,,239,239,-76.136793708164,43.0425453825224,3
1250,"700 S CROUSE, 13210",PointAddress,false,From Building,2022-04-29 00:00:00.000000,CROUSE, ,,800,2040,-76.136793708164,43.0425453825224,1
1251,1100 MADISON ST,StreetAddress,false,All Other,2022-01-06 00:00:00.000000,MADISON, ,ST,27,23,-76.1305519231863,43.0452374281232,1
1252,"700 S CROUSE, 13210",PointAddress,false,From Building,2022-01-31 00:00:00.000000,CROUSE, ,,1628,1628,-76.136793708164,43.0425453825224,4
1253,"700 S CROUSE, 13210",PointAddress,true,,2022-05-15 00:00:00.000000,CROUSE, ,,120,120,-76.136793708164,43.0425453825224,5
1254,"700 S CROUSE, 13210",PointAddress,false,From Building,2022-03-27 00:00:00.000000,CROUSE, ,,830,1530,-76.136793708164,43.0425453825224,1
1255,"700 S CROUSE, 13210",PointAddress,false,All Other,2022-05-10 00:00:00.000000,CROUSE, ,,1730,1730,-76.136793708164,43.0425453825224,1
1256,"700 S CROUSE, 13210",PointAddress,false,From Building,2022-04-06 00:00:00.000000,CROUSE, ,,1250,1230,-76.136793708164,43.0425453825224,1
1257,"700 SOUTH, 13207",PointAddress,true,,2022-03-20 00:00:00.000000,SOUTH, ,,2355,2355,-76.1589112027241,43.0317003850955,5
1258,"700 SUMNER, 13210",PointAddress,false,Motor Vehicle,2022-04-08 00:00:00.000000,SUMNER, ,,2333,2330,-76.1260027125585,43.0379463824264,2
